FITPROB_Ibc,FITPROB_II,FITPROB_Ia,SNRMAX1,SNRMAX2,SHAPEPAR_Ia,COLORPAR_Ia,CHI2_Ibc,CHI2_Ia,CHI2_II,TOBSMIN_Ibc,DMU_Ia,TOBSMIN_II,Z_Ia,ITYPE_BEST,CLASS
0.65929,0.7792,0.8416,26.22495,25.612,2.5,0.5,7.68797,4.91568,6.41581,-17.762,0.5,-17.762,0.15647,0,KN
0.80772,0.80223,0.81706,26.08759,8.86222,1.125,0.9,4.51705,4.42328,4.57161,-15.703,0.5,-16.703,0.19568,0,CC
3.13602e-05,9.85072e-07,0.1318,8.06492,5.83772,-3.0,-0.9,34.61949,12.46068,40.5559,-5.701,-0.3,7.299,1.09473,0,KN
5.66751e-10,1.54268e-14,9.0992e-06,11.51491,5.12311,2.5,-0.9,57.1164,35.47635,79.75878,50.277,-0.5,6.277,1.1448,0,KN
0.8741,0.33051,0.9923,16.86146,5.82403,-3.0,-0.1,2.44929,0.79163,6.89663,32.286,1.1,42.286,0.0782336,0,KN
0.96383,0.65415,0.96732,10.68657,7.2914,-0.9375,-1.0,3.59343,3.49334,7.74068,-0.797,0.3,6.203,1.04685,0,Ia
0.0648716,0.0360744,0.56332,6.01088,3.53605,-3.0,-0.9,14.71775,6.75462,14.99416,-4.762,0.5,0.238,1.25191,0,KN
0.64141,0.76758,0.55109,15.37984,11.85189,2.5,0.2,6.052,5.90329,4.90595,-17.758,-0.5,-21.758,0.33467,0,KN
0.65744,0.87169,0.5004,63.97968,30.20692,2.5,0.2,4.14217,4.34856,2.47105,-17.745,0.3,-17.745,0.14308,0,KN
0.000144219,1.7123e-05,0.17934,7.43555,4.99362,-3.0,-1.0,32.80818,12.64492,38.04321,-3.797,0.1,-2.797,1.4,0,KN
0.99385,0.99344,0.99946,141.79939,80.59729,0.78125,0.2,0.72891,0.3079,0.74616,17.255,-0.1,11.255,0.0855536,0,CC
0.94206,0.78956,0.9868,39.68558,35.30967,2.5,-1.0,1.73916,0.96779,3.15189,9.241,0.1,2.241,0.55972,0,Ia
1.55956e-06,8.19531e-10,0.018778,14.47871,5.02766,-3.0,1.0,39.51344,16.79341,56.31024,40.297,-0.1,50.297,0.0598219,0,KN
0.86509,0.9011,0.8598,86.33673,27.18281,2.5,-0.4,6.88552,6.96686,6.28384,-14.724,0.9,-14.724,0.11441,0,Ia
0.98032,0.97674,0.96685,30.23755,16.49794,1.46875,0.6,2.02242,2.38573,2.13074,32.299,1.5,19.299,0.095674,-9,CC
0.7419,0.60501,0.963,70.36623,49.52149,0.4375,0.0,5.14566,2.47261,6.37761,-4.759,0.1,24.241,0.14632,0,Ia
0.8813,0.82138,0.90646,42.27132,10.28324,0.78125,1.0,2.38323,2.1392,2.89926,14.275,0.9,12.275,0.10699,0,CC
4.15521e-13,3.72916e-23,2.12118e-06,15.70717,6.76589,-3.0,-1.0,77.93291,43.03809,127.57921,50.203,-0.5,19.203,1.36904,0,KN
0.86997,0.98441,0.96323,9.51889,4.42397,2.5,-0.8,3.15837,1.93733,1.43716,3.22,0.9,-19.78,1.33877,0,CC
5.68497e-15,1.06172e-14,0.000283085,25.56426,14.38385,2.5,-1.0,81.88351,27.39335,80.55442,49.242,-0.5,49.242,1.33877,0,KN
0.98715,0.99863,0.99976,81.81644,47.73303,2.5,-0.5,1.34655,0.38701,0.65931,10.242,1.5,27.242,0.074812,0,Ia
2.75523e-06,5.34207e-11,0.000118457,18.32177,6.03058,2.5,-1.0,33.68141,25.36479,56.88442,50.221,-0.5,50.221,1.28022,-9,KN
0.72319,0.71875,0.84239,15.93993,11.75495,2.5,0.3,3.65542,2.72578,3.68847,40.247,1.5,31.247,0.10463,0,CC
0.24843,0.28532,0.99936,65.89528,17.68417,-3.0,-0.5,10.24235,0.75942,9.71882,9.289,-0.5,17.289,0.25591,0,Ia
